,home_team,away_team,home_position,away_position,home_team_avg_goals,away_team_avg_goals,home_team_avg_conceded,away_team_avg_conceded,Over2.5
347,13,8,18,15,1.0,1.2,3.0,1.2,0
348,0,2,2,12,2.6,1.6,0.8,1.4,1
349,18,17,20,17,1.2,1.2,3.4,2.0,1
350,5,16,19,7,1.4,2.2,1.0,0.8,1
351,3,9,16,13,2.0,1.0,1.0,1.6,0
352,14,22,1,14,3.8,1.0,0.8,1.6,1
353,12,20,3,5,1.4,1.2,1.6,2.2,1
354,4,1,11,4,0.2,2.2,2.2,2.0,0
355,6,21,6,9,2.4,1.4,1.8,2.2,1
356,7,15,10,8,2.2,2.4,1.4,2.2,1
357,9,14,13,1,0.8,4.0,1.0,0.8,1
358,22,7,14,10,1.0,2.6,2.2,0.6,1
359,21,13,9,18,1.2,1.2,3.0,2.8,1
360,20,5,5,19,1.4,1.4,2.8,1.6,1
361,16,4,7,11,2.8,0.4,0.8,2.2,0
362,8,18,15,20,1.2,1.0,1.4,3.6,0
363,2,3,12,16,1.4,2.0,1.6,1.0,1
364,17,6,17,6,1.2,3.0,2.0,1.4,1
365,15,0,8,2,1.8,2.6,2.2,0.8,0
366,1,12,4,3,2.0,1.8,1.4,1.6,1
367,20,14,5,1,1.2,4.0,2.8,0.4,0
368,4,6,11,6,0.6,2.4,1.8,1.8,1
369,15,16,8,7,1.4,2.8,2.0,1.0,1
370,18,20,20,5,1.0,1.2,3.4,2.4,1
371,14,21,1,9,3.4,1.4,0.2,3.0,1
372,13,9,18,13,1.0,0.8,3.2,1.6,1
373,12,22,3,14,2.4,0.8,2.0,2.4,0
374,7,1,10,4,3.0,2.0,0.8,1.4,1
375,6,2,6,12,2.8,1.2,1.0,1.6,1
376,5,17,19,17,1.6,1.4,1.8,2.0,1
377,4,15,11,8,0.6,1.6,2.0,2.0,0
378,3,16,16,7,1.8,2.4,0.6,1.6,1
379,0,8,2,15,2.8,1.4,0.4,0.2,1
380,15,9,14,8,1.2,1.2,1.6,2.0,0
381,17,2,10,13,1.4,1.2,1.8,1.4,0
382,16,19,7,19,3.2,0.0,1.6,0.0,0
383,8,4,16,6,1.2,0.6,0.6,1.6,1
384,0,22,3,20,2.8,0.8,0.6,2.4,0
385,21,1,12,5,1.6,1.6,3.2,2.4,1
